0,-2207.833334
0.0048403,-2345.666667
0.0087506,-2607.75
0.017833,-2870.666667
0.024208,-3159.75
0.031037,-3458.75
0.034775,-3741.333334
0.040619,-4007.5
0.046992,-4286.75
0.053373,-4607.5
0.053396,-4745.25
0.060459,-4943.75
0.064545,-5207.666665
0.069325,-5415.583335
0.075164,-5654.333335
0.08153,-5888.833335
0.087366,-6102.25
0.094788,-6347.333335
0.1059,-6593
0.11701,-6803.666665
0.13443,-6942.833335
0.15341,-6953.333335
0.17237,-6858.5
0.18975,-6712
0.205,-6518.583335
0.21657,-6312.416665
0.22896,-6098.083335
0.24022,-5878.333335
0.24968,-5688.583335
0.25913,-5472.5
0.26858,-5245.916665
0.27939,-5009.5
0.28801,-4784.75
0.29558,-4566.833334
0.30639,-4321
0.31457,-4100.25
0.3234,-3910.5
0.33159,-3699.166667
0.34104,-3485.75
0.3505,-3280.25
0.35995,-3077.333334
0.37099,-2867.833334
0.38338,-2678.75
0.3934,-2554
0.41205,-2505.583334
0.43104,-2539.833334
0.44936,-2651.583334
0.46905,-2842.833334
0.48805,-2958.75
0.50703,-2979.833334
0.526,-2924.5
0.54496,-2821.75
0.56392,-2719
0.58289,-2663.666667
0.60187,-2645.166667
0.62085,-2624.166667
0.63982,-2589.833334
0.65879,-2539.833334
0.67776,-2479.166667
0.69673,-2437.083334
0.71571,-2437.083334
0.7347,-2471.333334
0.75368,-2500.25
0.77266,-2500.25
0.79164,-2484.5
0.81061,-2405.416667
0.82957,-2334.25
0.84855,-2310.583334
0.86753,-2342.166667
0.88651,-2342.166667
0.90549,-2302.666667
0.92444,-2149.833334
0.94022,-1957.5
0.95918,-1799.416667
0.97929,-1791.083334
0.99506,-1960.083334
1,-2207.833334
